Tx_ID,Tx_X,Tx_Y,Tx_Z,Rx_X,Rx_Y,Rx_Z,Distance_3D,LOS,Building_Height_Avg,Azimuth_Deg,Elevation_Deg,Path_Loss_dB
3,139.75594,35.698821,28.59,139.751519,35.682216,1.8,1885.916,1,24.911,-104.908,0.814,115.422
1,139.763141,35.691393,50.61,139.761613,35.695237,1.39,451.137,1,16.35,111.666,6.227,105.355
3,139.762262,35.690027,26.5,139.769293,35.685567,1.52,804.629,1,9.158,-32.391,1.778,98.61
3,139.762868,35.692108,50.98,139.76214,35.682765,1.62,1040.29,1,20.869,-94.45,2.717,104.795
1,139.767567,35.692326,55.79,139.750964,35.685313,1.81,1687.948,0,62.779,-157.101,1.832,117.51
1,139.765635,35.683406,39.88,139.769528,35.69716,1.34,1566.973,0,22.264,74.195,1.409,123.993
3,139.754493,35.693728,39.48,139.761742,35.692548,1.67,667.538,1,20.91,-9.249,3.241,101.785
2,139.751967,35.689047,35.65,139.750576,35.691948,1.78,347.187,1,23.795,115.622,5.572,87.213
3,139.771882,35.690348,55.69,139.755116,35.691693,1.81,1519.885,1,9.297,175.413,2.031,110.646
3,139.766792,35.680606,44.17,139.756527,35.688173,1.5,1250.444,1,13.309,143.604,1.955,97.858
3,139.76077,35.695291,45.27,139.765318,35.68834,1.47,874.845,0,20.286,-56.801,2.866,120.721
3,139.774251,35.696709,48.16,139.755591,35.682966,1.1,2271.187,0,53.264,-143.63,1.187,134.487
1,139.761642,35.692388,35.51,139.76084,35.686652,1.5,641.708,1,19.692,-97.959,3.034,103.304
3,139.773879,35.694974,40.15,139.77252,35.690241,1.7,540.915,1,5.492,-106.018,4.065,99.095
2,139.759173,35.690454,50.96,139.774232,35.69212,1.92,1371.01,0,45.011,6.314,2.048,126.127
1,139.752185,35.692367,59.49,139.773862,35.681433,1.13,2301.156,1,19.752,-26.767,1.453,116.952
2,139.777979,35.687891,26.2,139.770852,35.686676,1.97,656.962,0,49.832,-170.323,2.112,118.893
2,139.761837,35.695837,26.49,139.766254,35.686788,1.23,1080.812,0,62.809,-63.978,1.339,120.46
2,139.773781,35.689365,39.98,139.766519,35.690301,1.18,664.009,0,39.602,172.656,3.345,114.98
2,139.758374,35.693604,48.09,139.778602,35.694201,1.11,1825.267,0,66.336,1.689,1.474,126.095
1,139.769391,35.692429,38.52,139.776336,35.692705,1.99,627.913,1,11.78,2.276,3.33,100.391
